,city,category,property,price,currency,min_price,max_price
308,Mannheim,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"4,500.00",€,,
309,Mannheim,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"5,000.00",€,,
311,Nuremberg,Restaurants,"Meal, Inexpensive Restaurant",10.00,€,8.00,20.00
312,Nuremberg,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",50.00,€,30.00,70.00
313,Nuremberg,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.00,€,8.00,10.00
314,Nuremberg,Restaurants,Domestic Beer (0.5 liter draught),3.50,€,2.80,4.50
315,Nuremberg,Restaurants,Imported Beer (0.33 liter bottle),4.00,€,3.00,5.00
316,Nuremberg,Restaurants,Cappuccino (regular),3.26,€,2.50,4.50
317,Nuremberg,Restaurants,Coke/Pepsi (0.33 liter bottle),2.93,€,2.50,4.00
318,Nuremberg,Restaurants,Water (0.33 liter bottle),2.96,€,2.20,3.50
320,Nuremberg,Markets,"Milk (regular), (1 liter)",1.00,€,0.79,1.25
321,Nuremberg,Markets,Loaf of Fresh White Bread (500g),1.86,€,0.79,3.50
322,Nuremberg,Markets,"Rice (white), (1kg)",2.14,€,1.38,2.99
323,Nuremberg,Markets,Eggs (regular) (12),2.71,€,1.91,3.60
324,Nuremberg,Markets,Local Cheese (1kg),12.76,€,8.00,20.00
325,Nuremberg,Markets,Chicken Fillets (1kg),8.58,€,3.69,12.00
326,Nuremberg,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),14.54,€,9.99,25.00
327,Nuremberg,Markets,Apples (1kg),2.66,€,1.19,3.50
328,Nuremberg,Markets,Banana (1kg),1.58,€,0.99,2.00
329,Nuremberg,Markets,Oranges (1kg),2.10,€,1.98,3.50
330,Nuremberg,Markets,Tomato (1kg),1.64,€,0.79,3.00
331,Nuremberg,Markets,Potato (1kg),1.62,€,0.56,2.50
332,Nuremberg,Markets,Onion (1kg),1.33,€,0.89,3.00
333,Nuremberg,Markets,Lettuce (1 head),1.22,€,0.80,1.69
334,Nuremberg,Markets,Water (1.5 liter bottle),0.56,€,0.25,1.00
335,Nuremberg,Markets,Bottle of Wine (Mid-Range),5.00,€,3.50,7.00
336,Nuremberg,Markets,Domestic Beer (0.5 liter bottle),0.91,€,0.54,1.20
337,Nuremberg,Markets,Imported Beer (0.33 liter bottle),1.38,€,1.00,1.50
338,Nuremberg,Markets,Cigarettes 20 Pack (Marlboro),7.50,€,7.00,8.00
340,Nuremberg,Transportation,One-way Ticket (Local Transport),3.00,€,2.75,3.60
341,Nuremberg,Transportation,Monthly Pass (Regular Price),80.10,€,67.00,92.00
342,Nuremberg,Transportation,Taxi Start (Normal Tariff),3.50,€,3.30,4.50
343,Nuremberg,Transportation,Taxi 1km (Normal Tariff),1.90,€,1.75,3.50
344,Nuremberg,Transportation,Taxi 1hour Waiting (Normal Tariff),26.00,€,24.00,38.00
345,Nuremberg,Transportation,Gasoline (1 liter),2.03,€,1.74,2.20
346,Nuremberg,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,000.00",€,"20,000.00","29,000.00"
347,Nuremberg,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"25,166.67",€,"25,000.00","26,000.00"
349,Nuremberg,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",239.98,€,128.79,385.00
350,Nuremberg,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.12,€,0.09,0.19
351,Nuremberg,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",34.77,€,30.00,40.00
353,Nuremberg,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",30.93,€,20.00,50.00
354,Nuremberg,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),18.33,€,12.00,25.00
355,Nuremberg,Internet (60 Mbps,"Cinema, International Release, 1 Seat",13.00,€,12.00,18.00
357,Nuremberg,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",395.38,€,300.00,500.00
358,Nuremberg,Childcare,"International Primary School, Yearly for 1 Child","12,812.50",€,"11,250.00","15,000.00"
360,Nuremberg,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),85.56,€,55.00,120.00
361,Nuremberg,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",42.62,€,29.00,50.00
362,Nuremberg,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),82.56,€,60.00,120.00
363,Nuremberg,Clothing And Shoes,1 Pair of Men Leather Business Shoes,110.62,€,75.00,199.00
365,Nuremberg,Rent Per Month,Apartment (1 bedroom) in City Centre,722.00,€,500.00,"1,000.00"
366,Nuremberg,Rent Per Month,Apartment (1 bedroom) Outside of Centre,535.00,€,400.00,"1,000.00"
367,Nuremberg,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,430.77",€,"1,000.00","2,000.00"
368,Nuremberg,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,966.67,€,800.00,"1,400.00"
370,Nuremberg,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"6,242.51",€,"4,800.00","8,000.00"
371,Nuremberg,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"4,700.00",€,"3,600.00","6,000.00"
373,Darmstadt,Restaurants,"Meal, Inexpensive Restaurant",18.00,€,10.00,30.00
374,Darmstadt,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",60.00,€,50.00,95.00
375,Darmstadt,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.00,€,8.00,15.00
376,Darmstadt,Restaurants,Domestic Beer (0.5 liter draught),4.00,€,3.00,5.00
377,Darmstadt,Restaurants,Imported Beer (0.33 liter bottle),3.80,€,3.00,5.00
378,Darmstadt,Restaurants,Cappuccino (regular),3.35,€,2.00,4.00
379,Darmstadt,Restaurants,Coke/Pepsi (0.33 liter bottle),2.48,€,2.00,3.00
380,Darmstadt,Restaurants,Water (0.33 liter bottle),2.47,€,2.00,3.00
382,Darmstadt,Markets,"Milk (regular), (1 liter)",1.43,€,0.93,2.00
383,Darmstadt,Markets,Loaf of Fresh White Bread (500g),3.21,€,1.50,5.00
384,Darmstadt,Markets,"Rice (white), (1kg)",2.44,€,1.50,4.00
385,Darmstadt,Markets,Eggs (regular) (12),3.25,€,2.39,5.16
386,Darmstadt,Markets,Local Cheese (1kg),23.70,€,12.40,50.00
387,Darmstadt,Markets,Chicken Fillets (1kg),7.89,€,3.00,20.00
388,Darmstadt,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),15.25,€,4.00,25.00
389,Darmstadt,Markets,Apples (1kg),2.74,€,1.00,4.00
390,Darmstadt,Markets,Banana (1kg),1.79,€,1.09,3.00
391,Darmstadt,Markets,Oranges (1kg),2.55,€,1.50,5.00
392,Darmstadt,Markets,Tomato (1kg),0.91,€,0.79,2.50
393,Darmstadt,Markets,Potato (1kg),2.43,€,0.80,4.00
394,Darmstadt,Markets,Onion (1kg),1.34,€,0.89,3.00
395,Darmstadt,Markets,Lettuce (1 head),1.60,€,0.70,3.00
396,Darmstadt,Markets,Water (1.5 liter bottle),0.98,€,0.30,3.00
397,Darmstadt,Markets,Bottle of Wine (Mid-Range),7.00,€,3.60,8.00
398,Darmstadt,Markets,Domestic Beer (0.5 liter bottle),0.59,€,0.53,1.00
399,Darmstadt,Markets,Imported Beer (0.33 liter bottle),1.82,€,1.15,2.49
400,Darmstadt,Markets,Cigarettes 20 Pack (Marlboro),7.00,€,6.20,8.00
402,Darmstadt,Transportation,One-way Ticket (Local Transport),3.00,€,2.40,3.60
403,Darmstadt,Transportation,Monthly Pass (Regular Price),60.00,€,48.00,80.00
404,Darmstadt,Transportation,Taxi Start (Normal Tariff),3.50,€,3.50,4.50
405,Darmstadt,Transportation,Taxi 1km (Normal Tariff),2.00,€,2.00,2.00
406,Darmstadt,Transportation,Taxi 1hour Waiting (Normal Tariff),33.00,€,33.00,33.00
407,Darmstadt,Transportation,Gasoline (1 liter),2.00,€,1.74,2.20
408,Darmstadt,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"35,000.00",€,"30,000.00","40,000.00"
409,Darmstadt,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"40,000.00",€,"35,000.00","45,000.00"
411,Darmstadt,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",231.54,€,180.00,300.00
412,Darmstadt,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.12,€,0.09,0.11
413,Darmstadt,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",38.61,€,35.00,50.00
415,Darmstadt,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",42.50,€,30.00,50.00
416,Darmstadt,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),80.00,€,,
417,Darmstadt,Internet (60 Mbps,"Cinema, International Release, 1 Seat",12.00,€,10.00,15.00
419,Darmstadt,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",560.00,€,400.00,"1,250.00"
420,Darmstadt,Childcare,"International Primary School, Yearly for 1 Child","39,333.33",€,"10,000.00","90,000.00"
422,Darmstadt,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),79.50,€,70.00,90.00
423,Darmstadt,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",40.00,€,30.00,90.00
424,Darmstadt,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),93.33,€,65.00,120.00
425,Darmstadt,Clothing And Shoes,1 Pair of Men Leather Business Shoes,107.83,€,80.00,150.00
427,Darmstadt,Rent Per Month,Apartment (1 bedroom) in City Centre,959.09,€,750.00,"1,200.00"
428,Darmstadt,Rent Per Month,Apartment (1 bedroom) Outside of Centre,695.00,€,500.00,980.00
429,Darmstadt,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,713.75",€,"1,500.00","2,000.00"
430,Darmstadt,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,358.33",€,"1,000.00","2,000.00"
432,Darmstadt,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"5,200.00",€,"4,000.00","6,500.00"
433,Darmstadt,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"3,750.00",€,"3,500.00","4,000.00"
435,Frankfurt,Restaurants,"Meal, Inexpensive Restaurant",14.00,€,9.00,20.00
436,Frankfurt,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",60.00,€,50.00,100.00
437,Frankfurt,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.00,€,8.00,10.00
438,Frankfurt,Restaurants,Domestic Beer (0.5 liter draught),4.50,€,3.10,5.50
439,Frankfurt,Restaurants,Imported Beer (0.33 liter bottle),4.00,€,2.80,5.00
440,Frankfurt,Restaurants,Cappuccino (regular),3.30,€,2.00,5.00
441,Frankfurt,Restaurants,Coke/Pepsi (0.33 liter bottle),2.68,€,2.00,4.00
442,Frankfurt,Restaurants,Water (0.33 liter bottle),2.52,€,2.00,3.00
444,Frankfurt,Markets,"Milk (regular), (1 liter)",1.12,€,0.89,1.59
445,Frankfurt,Markets,Loaf of Fresh White Bread (500g),1.85,€,1.00,3.80
446,Frankfurt,Markets,"Rice (white), (1kg)",2.03,€,1.00,4.00
447,Frankfurt,Markets,Eggs (regular) (12),2.82,€,1.20,4.20
448,Frankfurt,Markets,Local Cheese (1kg),12.47,€,6.00,30.00
449,Frankfurt,Markets,Chicken Fillets (1kg),10.29,€,4.99,16.00
450,Frankfurt,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),17.07,€,7.00,30.00
451,Frankfurt,Markets,Apples (1kg),2.56,€,1.00,3.50
452,Frankfurt,Markets,Banana (1kg),1.63,€,1.00,3.00
453,Frankfurt,Markets,Oranges (1kg),2.11,€,1.00,5.99
454,Frankfurt,Markets,Tomato (1kg),1.95,€,0.79,4.00
455,Frankfurt,Markets,Potato (1kg),1.58,€,0.50,3.49
456,Frankfurt,Markets,Onion (1kg),1.01,€,0.89,1.30
457,Frankfurt,Markets,Lettuce (1 head),1.35,€,0.75,2.80
458,Frankfurt,Markets,Water (1.5 liter bottle),0.56,€,0.19,1.00
459,Frankfurt,Markets,Bottle of Wine (Mid-Range),6.00,€,3.00,8.99
460,Frankfurt,Markets,Domestic Beer (0.5 liter bottle),0.89,€,0.50,1.20
461,Frankfurt,Markets,Imported Beer (0.33 liter bottle),1.59,€,0.80,3.00
462,Frankfurt,Markets,Cigarettes 20 Pack (Marlboro),7.35,€,7.00,8.00
464,Frankfurt,Transportation,One-way Ticket (Local Transport),3.35,€,2.75,3.40
465,Frankfurt,Transportation,Monthly Pass (Regular Price),94.50,€,80.00,100.00
466,Frankfurt,Transportation,Taxi Start (Normal Tariff),3.50,€,3.50,5.00
467,Frankfurt,Transportation,Taxi 1km (Normal Tariff),1.90,€,1.40,2.00
468,Frankfurt,Transportation,Taxi 1hour Waiting (Normal Tariff),33.00,€,33.00,33.00
469,Frankfurt,Transportation,Gasoline (1 liter),1.99,€,1.70,2.20
470,Frankfurt,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,000.00",€,"18,900.00","27,000.00"
471,Frankfurt,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"23,895.00",€,"23,000.00","27,000.00"
473,Frankfurt,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",325.34,€,250.00,453.33
474,Frankfurt,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.09,€,0.05,0.10
475,Frankfurt,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",34.61,€,25.00,50.00
477,Frankfurt,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",44.77,€,20.00,66.00
478,Frankfurt,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),18.50,€,10.00,25.00
479,Frankfurt,Internet (60 Mbps,"Cinema, International Release, 1 Seat",12.00,€,11.40,20.00
481,Frankfurt,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",536.14,€,290.00,975.00
482,Frankfurt,Childcare,"International Primary School, Yearly for 1 Child","12,483.33",€,"8,000.00","20,000.00"
484,Frankfurt,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),74.99,€,47.00,109.00
485,Frankfurt,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",34.15,€,20.00,45.00
486,Frankfurt,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),86.37,€,55.00,129.90
487,Frankfurt,Clothing And Shoes,1 Pair of Men Leather Business Shoes,130.42,€,74.00,200.00
489,Frankfurt,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,131.03",€,900.00,"1,450.00"
490,Frankfurt,Rent Per Month,Apartment (1 bedroom) Outside of Centre,826.09,€,650.00,"1,000.00"
491,Frankfurt,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,071.10",€,"1,600.00","3,500.00"
492,Frankfurt,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,488.10",€,"1,200.00","2,000.00"
494,Frankfurt,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"8,956.11",€,"7,100.00","10,000.00"
495,Frankfurt,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"6,092.73",€,"5,000.00","8,000.00"
497,Dresden,Restaurants,"Meal, Inexpensive Restaurant",10.00,€,7.50,15.00
498,Dresden,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",50.00,€,40.00,80.00
499,Dresden,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.50,€,8.00,10.00
500,Dresden,Restaurants,Domestic Beer (0.5 liter draught),4.00,€,3.00,5.00
501,Dresden,Restaurants,Imported Beer (0.33 liter bottle),3.50,€,3.00,4.20
502,Dresden,Restaurants,Cappuccino (regular),3.18,€,2.50,4.00
503,Dresden,Restaurants,Coke/Pepsi (0.33 liter bottle),2.80,€,2.00,3.50
504,Dresden,Restaurants,Water (0.33 liter bottle),1.94,€,1.50,3.00
506,Dresden,Markets,"Milk (regular), (1 liter)",1.10,€,0.80,1.50
507,Dresden,Markets,Loaf of Fresh White Bread (500g),1.18,€,0.60,2.00
508,Dresden,Markets,"Rice (white), (1kg)",2.11,€,1.19,3.00
509,Dresden,Markets,Eggs (regular) (12),2.47,€,2.00,3.00
510,Dresden,Markets,Local Cheese (1kg),10.21,€,5.98,12.40
511,Dresden,Markets,Chicken Fillets (1kg),8.00,€,3.00,11.92
512,Dresden,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),11.71,€,5.00,15.00
513,Dresden,Markets,Apples (1kg),2.02,€,1.20,2.99
514,Dresden,Markets,Banana (1kg),1.73,€,1.30,2.50
515,Dresden,Markets,Oranges (1kg),2.37,€,1.99,4.00
516,Dresden,Markets,Tomato (1kg),1.43,€,0.79,3.00
517,Dresden,Markets,Potato (1kg),1.47,€,1.00,3.00
518,Dresden,Markets,Onion (1kg),1.16,€,0.75,2.00
519,Dresden,Markets,Lettuce (1 head),1.13,€,1.00,1.59
520,Dresden,Markets,Water (1.5 liter bottle),0.73,€,0.30,2.00
521,Dresden,Markets,Bottle of Wine (Mid-Range),6.00,€,5.00,10.00
522,Dresden,Markets,Domestic Beer (0.5 liter bottle),0.87,€,0.54,1.00
523,Dresden,Markets,Imported Beer (0.33 liter bottle),1.32,€,1.00,2.00
524,Dresden,Markets,Cigarettes 20 Pack (Marlboro),8.00,€,6.00,8.00
526,Dresden,Transportation,One-way Ticket (Local Transport),2.70,€,2.50,2.80
527,Dresden,Transportation,Monthly Pass (Regular Price),66.00,€,60.00,70.00
528,Dresden,Transportation,Taxi Start (Normal Tariff),4.00,€,3.50,10.00
529,Dresden,Transportation,Taxi 1km (Normal Tariff),2.30,€,2.00,2.70
530,Dresden,Transportation,Taxi 1hour Waiting (Normal Tariff),27.00,€,20.00,30.00
531,Dresden,Transportation,Gasoline (1 liter),2.04,€,1.74,2.20
532,Dresden,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"23,425.00",€,"22,000.00","28,500.00"
533,Dresden,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"27,216.67",€,"25,000.00","26,650.00"
535,Dresden,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",248.21,€,182.14,400.00
536,Dresden,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.09,€,0.05,0.09
537,Dresden,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",32.56,€,30.00,45.99
539,Dresden,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",29.75,€,20.00,40.00
540,Dresden,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),20.00,€,10.00,25.00
541,Dresden,Internet (60 Mbps,"Cinema, International Release, 1 Seat",10.00,€,8.00,13.50
543,Dresden,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",230.71,€,155.00,300.00
544,Dresden,Childcare,"International Primary School, Yearly for 1 Child","8,850.00",€,"7,000.00","12,500.00"
546,Dresden,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),85.00,€,70.00,100.00
547,Dresden,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",40.83,€,30.00,60.00
548,Dresden,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),82.14,€,70.00,110.00
549,Dresden,Clothing And Shoes,1 Pair of Men Leather Business Shoes,118.62,€,80.00,150.00
551,Dresden,Rent Per Month,Apartment (1 bedroom) in City Centre,594.50,€,400.00,800.00
552,Dresden,Rent Per Month,Apartment (1 bedroom) Outside of Centre,433.33,€,300.00,650.00
553,Dresden,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,120.83",€,900.00,"1,450.00"
554,Dresden,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,871.54,€,600.00,"1,200.00"
556,Dresden,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"4,211.00",€,"3,680.00","4,500.00"
557,Dresden,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"3,160.00",€,"2,300.00","4,000.00"
559,Leipzig,Restaurants,"Meal, Inexpensive Restaurant",10.50,€,5.00,14.00
560,Leipzig,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",50.00,€,40.00,70.00
561,Leipzig,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),8.00,€,7.00,9.00
562,Leipzig,Restaurants,Domestic Beer (0.5 liter draught),4.00,€,2.60,5.50
563,Leipzig,Restaurants,Imported Beer (0.33 liter bottle),3.50,€,3.00,4.00
564,Leipzig,Restaurants,Cappuccino (regular),3.07,€,2.00,4.00
565,Leipzig,Restaurants,Coke/Pepsi (0.33 liter bottle),3.03,€,2.00,4.00
566,Leipzig,Restaurants,Water (0.33 liter bottle),2.54,€,2.00,3.70
568,Leipzig,Markets,"Milk (regular), (1 liter)",1.13,€,0.88,1.69
569,Leipzig,Markets,Loaf of Fresh White Bread (500g),1.50,€,1.00,3.50
570,Leipzig,Markets,"Rice (white), (1kg)",1.66,€,1.00,2.99
571,Leipzig,Markets,Eggs (regular) (12),2.45,€,1.56,3.60
572,Leipzig,Markets,Local Cheese (1kg),11.69,€,8.00,22.00
573,Leipzig,Markets,Chicken Fillets (1kg),8.10,€,4.00,12.95
574,Leipzig,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),14.57,€,9.00,19.00
575,Leipzig,Markets,Apples (1kg),2.40,€,1.50,3.20
576,Leipzig,Markets,Banana (1kg),1.61,€,1.10,3.00
577,Leipzig,Markets,Oranges (1kg),2.09,€,1.00,3.00
578,Leipzig,Markets,Tomato (1kg),1.45,€,0.79,3.00
579,Leipzig,Markets,Potato (1kg),1.61,€,0.60,3.00
580,Leipzig,Markets,Onion (1kg),1.02,€,0.70,1.50
581,Leipzig,Markets,Lettuce (1 head),1.14,€,0.50,1.50
582,Leipzig,Markets,Water (1.5 liter bottle),0.48,€,0.28,0.99
583,Leipzig,Markets,Bottle of Wine (Mid-Range),6.00,€,3.00,9.00
584,Leipzig,Markets,Domestic Beer (0.5 liter bottle),0.76,€,0.54,1.00
585,Leipzig,Markets,Imported Beer (0.33 liter bottle),1.15,€,1.00,1.50
586,Leipzig,Markets,Cigarettes 20 Pack (Marlboro),7.50,€,7.20,8.00
588,Leipzig,Transportation,One-way Ticket (Local Transport),3.00,€,3.00,3.40
589,Leipzig,Transportation,Monthly Pass (Regular Price),82.00,€,60.00,86.00
590,Leipzig,Transportation,Taxi Start (Normal Tariff),3.50,€,3.50,5.00
591,Leipzig,Transportation,Taxi 1km (Normal Tariff),2.50,€,2.00,2.50
592,Leipzig,Transportation,Taxi 1hour Waiting (Normal Tariff),24.00,€,24.00,24.00
593,Leipzig,Transportation,Gasoline (1 liter),1.98,€,1.74,2.20
594,Leipzig,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"24,000.00",€,"23,000.00","25,000.00"
595,Leipzig,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"21,666.67",€,"20,000.00","27,000.00"
597,Leipzig,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",237.46,€,170.00,324.55
598,Leipzig,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.13,€,0.09,0.25
599,Leipzig,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",36.33,€,30.00,44.00
601,Leipzig,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",27.00,€,20.00,35.00
602,Leipzig,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),27.50,€,25.00,30.00
603,Leipzig,Internet (60 Mbps,"Cinema, International Release, 1 Seat",10.00,€,9.00,12.00
605,Leipzig,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",196.50,€,120.00,450.00
606,Leipzig,Childcare,"International Primary School, Yearly for 1 Child","8,000.00",€,"6,000.00","9,000.00"
608,Leipzig,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),63.12,€,30.00,90.00
609,Leipzig,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",42.14,€,20.00,70.00
610,Leipzig,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),77.12,€,50.00,120.00
611,Leipzig,Clothing And Shoes,1 Pair of Men Leather Business Shoes,91.56,€,40.00,140.00
613,Leipzig,Rent Per Month,Apartment (1 bedroom) in City Centre,576.50,€,480.00,800.00
614,Leipzig,Rent Per Month,Apartment (1 bedroom) Outside of Centre,401.33,€,300.00,560.00
